现在	xiànzài	hiện tại, bây giờ
跟	gēn	cùng, với
一起	yìqǐ	cùng nhau
咱们	zánmen	chúng ta
走	zǒu	đi
常	cháng	thường xuyên
有时候	yǒushíhou	có khi, thỉnh thoảng
时候	shíhou	thời gian, khi
借	jiè	mượn
上网	shàngwǎng	lên mạng
查	chá	tra cứu
资料	zīliào	tài liệu
总是	zǒng shì	luôn luôn
安静	ānjìng	yên tĩnh
晚上	wǎnshang	buổi tối
复习	fùxí	ôn tập
课文	kèwén	bài khóa
预习	yùxí	chuẩn bị bài
生词	shēngcí	từ mới
或者	huòzhě	hoặc là
练习	liànxí	luyện tập
聊天儿	liáotiānr	nói chuyện phiếm
收发	shōufā	nhận và gửi
电影	diànyǐng	phim
电视剧	diànshìjù	phim truyền hình
电视	diànshì	tivi
休息	xiūxi	nghỉ ngơi
宿舍	sùshè	ký túc xá
公园	gōngyuán	công viên
超市	chāoshì	siêu thị
东西	dōngxi	đồ đạc
正	zhèng	đang
在	zài	ở, đang
正在	zhèngzài	đang
来	lái	đến
出来	chūlai	ra, xuất hiện
音乐	yīnyuè	âm nhạc
没有	méiyǒu	không có
录音	lùyīn	ghi âm
事	shì	việc, sự việc
书店	shūdiàn	hiệu sách
想	xiǎng	muốn, nghĩ
汉英	Hàn-Yīng	Hán Anh
坐	zuò	ngồi
挤	jǐ	chen chúc
骑	qí	cưỡi
行	xíng	được, ổn
门	mén	cửa
课	kè	bài học
综合	zōnghé	tổng hợp
口语	kǒuyǔ	khẩu ngữ
听力	tīnglì	nghe hiểu
阅读	yuèdú	đọc hiểu
文化	wénhuà	văn hóa
体育	tǐyù	thể thao
教	jiāo	dạy
包裹	bāoguǒ	bưu phẩm
顺便	shùnbiàn	tiện thể
替	tì	thay thế
邮票	yóupiào	tem thư
份	fèn	phần, bản
青年	qīngnián	thanh niên
报	bào	báo
报纸	bàozhǐ	báo giấy
拿	ná	cầm
不用	búyòng	không cần
用	yòng	dùng
旅行	lǚxíng	du lịch
代表	dàibiǎo	đại biểu
团	tuán	đoàn
参观	cānguān	tham quan
当	dāng	làm
翻译	fānyì	phiên dịch
飞机	fēijī	máy bay
飞	fēi	bay
火车	huǒchē	tàu hỏa
回来	huílai	trở về
办	bàn	làm, xử lý
帮	bāng	giúp
浇	jiāo	tưới
花	huā	hoa
没问题	méiwèntí	không vấn đề gì
Tiếng Trung	Phiên Âm	Nghĩa
羽绒服	yǔróngfú	áo lông vũ
试试	shìshi	thử
商店	shāngdiàn	cửa hàng
便宜	piányi	rẻ
又...又...		vừa... vừa...
看看	kànkan	xem thử
当然	dāngrán	đương nhiên
再	zài	lại, thêm
有点儿	yǒudiǎnr	hơi...
长	cháng	dài
短	duǎn	ngắn
深	shēn	sâu, đậm
浅	qiǎn	nông, nhạt
肥	féi	rộng, to
瘦	shòu	gầy, chật
合适	héshì	phù hợp
大小	dàxiǎo	kích thước
颜色	yánsè	màu sắc
年	nián	năm
今年	jīnnián	năm nay
明年	míngnián	năm sau
后年	hòunián	năm sau nữa
去年	qùnián	năm ngoái
毕业	bìyè	tốt nghiệp
多	duō	bao nhiêu
多大	duōdà	bao nhiêu tuổi
岁	suì	tuổi
属	shǔ	cầm tinh
狗	gǒu	chó
月	yuè	tháng
号	hào	ngày
生日	shēngrì	sinh nhật
正好	zhènghǎo	đúng lúc
打算	dǎsuan	dự định
过	guò	qua, đón
准备	zhǔnbèi	chuẩn bị
旅行	lǚxíng	du lịch
晚会	wǎnhuì	dạ hội
参加	cānjiā	tham gia
时间	shíjiān	thời gian
点(钟)	diǎn(zhōng)	giờ
就	jiù	ngay
一定	yídìng	nhất định
祝	zhù	chúc
快乐	kuàilè	vui vẻ
每	měi	mỗi
早上	zǎoshang	buổi sáng
半	bàn	nửa
起床	qǐchuáng	dậy
床	chuáng	giường
早饭	zǎofàn	bữa sáng
午饭	wǔfàn	bữa trưa
晚饭	wǎnfàn	bữa tối
以后	yǐhòu	sau khi
差	chà	kém
分(钟)	fēn(zhōng)	phút
上课	shàng kè	vào học
节	jié	tiết học
教室	jiàoshì	phòng học
操场	cāochǎng	sân thể thao
锻炼	duànliàn	rèn luyện
洗澡	xǐ zǎo	tắm
