光	guāng	Chỉ,riêng
也许	yěxǔ	Có lẽ,có lẽ
八点	bā diǎn	8 giờ
白	bái	trắng
班	bān	lớp học
本	běn	quyển, cuốn
别	bié	đừng, khác biệt
表示	biǎoshì	biểu thị, bày tỏ
别人	biéren	người khác
宾馆	bīnguǎn	khách sạn,Khách sạn
不但...而且	bù dàn ... ér qiě	không những…mà còn
不过	bùguò	nhưng, chỉ là
部分	bùfen	phần, bộ phận
才	cái	mới, vừa mới
草	cǎo	cỏ,cây cỏ
查	chá	kiểm tra, tra cứu
参加	cānjiā	tham gia
操作	cāozuò	vận hành, thao tác
衬衫	chènshān	áo sơ mi
成功	chénggōng	thành công
城市	chéngshì	thành phố
出现	chūxiàn	xuất hiện
除了...以外	chúle ... yǐwài	ngoài...ra,ngoài ra
词语	cíyǔ	từ ngữ, từ vựng
重新	chóngxīn	làm lại, bắt đầu lại
船	chuán	thuyền
聪明	cōngmíng	thông minh
打电话	dǎ diànhuà	gọi điện thoại
大概	dàgài	đại khái, khoảng chừng
大家	dàjiā	mọi người, tất cả
但是	dànshì	nhưng
到	dào	đến
到处	dàochù	khắp nơi
道理	dàolǐ	lý lẽ, đạo lý
等	děng	đợi, chờ đợi
地方	dìfāng	địa phương, nơi
地址	dìzhǐ	địa chỉ
电影	diànyǐng	phim điện ảnh
动物	dòngwù	động vật
对面	duìmiàn	đối diện
对不起	duìbuqǐ	xin lỗi
方便	fāngbiàn	thuận tiện,Thuận tiện
非常	fēicháng	vô cùng, rất,đặc biệt
飞	fēi	bay
分钟	fēnzhōng	phút
附近	fùjìn	gần, lân cận
复习	fùxí	ôn tập, xem lại
负责	fùzé	phụ trách
高	gāo	cao
高兴	gāoxìng	vui mừng
给	gěi	cho, tặng
跟	gēn	cùng, theo, với
工作	gōngzuò	công việc
公共	gōnggòng	công cộng
公司	gōngsī	công ty
关	guān	đóng, quan tâm
关于	guānyú	về, liên quan đến
贵	guì	đắt, quý
孩子	háizi	đứa trẻ, con cái
好像	hǎoxiàng	hình như, giống như
很	hěn	rất
会	huì	có thể, hội, sẽ
欢迎	huānyíng	chào mừng
会议	huìyì	hội nghị
火车	huǒchē	tàu hỏa
兴奋	/ Xīngfèn /	Hưng phấn
根据	/ Gēnjù /	Căn cứ,dựa theo
纸箱	/ Zhǐxiāng /	Thùng giấy
电梯	/ Diàntī /	Thang máy
会议厅	huìyì tīng	Phòng họp,phòng họp,hội ý
厅	tīng	Sảnh, phòng lớn
服务员	fúwùyuán	Nhân viên phục vụ
长	zhǎng	Lớn lên, phát triển
个子	gèzi	Dáng người
戴	dài	Đeo
副	fù	Cặp, đôi
穿	chuān	Mặc, đi
西服	xīfú	Bộ comple ,âu phục,tây phục
裙子	qúnzi	Váy
干	gàn	Làm
主持人	zhǔchí rén	MC, người chủ trì
主持	zhǔchí	Chủ trì
小伙子	xiǎohuǒzi	Chàng trai
扛	káng	Vác
摄像机	shèxiàngjī	Máy quay
麦克风	màikèfēng	Micro
讲话	jiǎnghuà	Nói chuyện
墙	qiáng	Tường, bức tường
喜	xǐ	Vui
婚礼	hūnlǐ	Lễ cưới
热闹	rènao	Náo nhiệt
挂	guà	Treo, móc
灯笼	dēnglóng	Đèn lồng
摆	bǎi	Bày, sắp xếp,bày
棉袄	mián'ǎo	Áo bông
新娘	xīnniáng	Cô dâu
新郎	xīnláng	Chú rể
帅	shuài	Đẹp trai
领带	lǐngdài	Cà vạt
热情	rèqíng	Nhiệt tình
客人	kèrén	Khách
倒	dào	Rót ,rót
不停	bù tíng	Không ngừng,không dừng
气氛	qìfēn	Không khí
客厅	kètīng	Phòng khách
大厅	dàtīng	Đại sảnh
中心	zhōngxīn	Trung tâm
购物中心	gòuwù zhōngxīn	Trung tâm mua sắm
文化中心	wénhuà zhōngxīn	Trung tâm văn hóa,trung tâm văn hoá
研究中心	yánjiū zhōngxīn	Trung tâm nghiên cứu
帽子	màozi	Mũ
项链	xiàngliàn	Dây chuyền,vòng cổ
手表	shǒubiǎo	Đồng hồ
口罩	kǒuzhào	Khẩu trang
耳机	ěrjī	Tai nghe
戒指	jièzhǐ	Nhẫn
手套	shǒutào	Găng tay,găng tay,bao tay
衣服	yīfu	Quần áo
羽绒服	yǔróngfú	Áo lông vũ
裤子	kùzi	Quần
大衣	dàyī	Áo khoác dài
鞋	xié	Giày
自行车	zìxíngchē	Xe đạp
双红喜字	shuāng hóng xǐ zì	Hai chữ Hỷ đỏ lớn
花	huā	Hoa
桌子	zhuōzi	Bàn
酒	jiǔ	Rượu
糖	táng	Kẹo
喜糖	xǐtáng	Kẹo cưới
喜酒	xǐjiǔ	Rượu cưới
地图	dìtú	Bản đồ
奥黛	Àodài	Áo dài
笑	xiào	Cười
画	huà	Vẽ ,vẽ
纸	zhǐ	Giấy
钥匙	yàoshi	chìa khóa,Chìa khoá
门	mén	Cửa
图书城	túshū chéng	Siêu thị sách
进去	jìnqu	Đi vào
各种各样	gè zhǒng gè yàng	Các loại
书架	shūjià	Giá sách
下来	xiàlai	Xuống
抽	chōu	Rút
挑	tiāo	Chọn
选	xuǎn	Chọn
小说	xiǎoshuō	Tiểu thuyết
回去	huíqu	Quay về
于是	yúshì	Thế là, do đó
音像	yīnxiàng	Media,bản thu
这里	zhèlǐ	Ở đây
那里	nàlǐ	Ở kia
拍	pāi	Chụp, quay
盒	hé	Hộp
下	xià	Sau, tới
学期	xuéqī	Học kỳ
饭馆	fànguǎn	Nhà hàng
盘	pán	Đĩa
累	lèi	Mệt
困	kùn	Buồn ngủ
维修	wéixiū	Sửa chữa
楼梯	lóutī	Cầu thang bộ
只好	zhǐhǎo	Đành phải
提	tí	Nhấc, xách
步	bù	Bước
却	què	Nhưng, lại
忽然	hūrán	Đột nhiên
起来	qǐlai	Bắt đầu, dậy lên
想起来	xiǎng qǐlai	Nhớ ra
插	chā	Cắm
拔	bá	Nhổ, lấy, rút
哭笑不得	kūxiàobùdé	Dở khóc dở cười
货架	huòjià	Giá hàng
进口	jìnkǒu	Nhập khẩu
出口	chūkǒu	Xuất khẩu
抽时间	chōu shíjiān	Dành thời gian
抽奖	chōu jiǎng	Bốc thăm trúng thưởng
抽签	chōu qiān	Bốc thăm
抽检	chōu jiǎn	Kiểm tra ngẫu nhiên
挑食	tiāo shí	Kén ăn
历史书	lìshǐ shū	Sách lịch sử
光盘	guāngpán	Đĩa quang
