做客	zuò kè	làm khách
甜	tián	ngọt
圣诞节	Shengdan Jié	Giáng Sinh
打扮	dǎbàn	ăn mặc,trang điểm
越来越	yuèláiyuè	ngày càng
越越	yuè...yuè	càng càng
新年	xīnnián	Năm mới
装饰	zhuāngshì	trang trí
打的	dǎ dí	bắt taxi
盖	gài	xây,che,đậy ,nắp,vung
随便	suíbiàn	tùy ý ,tuỳ tiện
礼物	lǐwù	quà tặng
空	kōng	trống
住宅	zhùzhái	nhà ở ,nơi ở
感想	gǎnxiǎng	cảm nghĩ,cảm nhận
欢乐	huānlè	vui vẻ,vui
四合院	sìhéyuàn	nhà tứ hợp
小区	xiǎoqū	khu dân cư
体会	tǐhuì	trải nghiệm
节日	jiérì	ngày lễ
院子	yuànzi	sân
建	jiàn	xây dựng
意见	yìjiàn	ý kiến
春节	Chūn Jié	Tết Nguyên Đán
种	zhòng	trồng
搬	bān	di chuyển
建议	jiànyì	đề xuất,kiến nghị ,khuyên
开	kāi	mở
棵	kē	cây
遗憾	yíhàn	tiếc nuối
提	tí	đề cập,vấn đề
联欢会	liánhuānhuì	liên hoan
枣	zǎo	táo tàu
舍不得	shěbùdé	không nỡ,tiếc thay
出门	chū mén	ra ngoài
结	jiē	kết,kết trái,kết quả
离开	líkāi	rời đi,rời xa
人们	rénmen	mọi người
现代化	xiàndàihuà	hiện đại hóa
丰富	fēngfù	phong phú
品尝	pǐncháng	nếm thử
打扫	dǎsǎo	dọn dẹp
夫人	fūren	phu nhân
可不是	kěbùshì	đúng vậy
特色	tèsè	đặc sắc
窗户	chuānghu	cửa sổ
幅	fú	bức
仔细	zǐxì	cẩn thận,kĩ tính
亲手	qīnshǒu	tự tay
窗	chuāng	cửa sổ
水仙	shuǐxiān	thủy tiên
认识	rènshi	quen biết
最好	zuìhǎo	tốt nhất
擦	cā	lau
声音	shēngyīn	âm thanh
把	bǎ	cái
桌子	zhuōzi	cái bàn
福	fú	phúc
椅子	yǐzi	ghế
它	tā	nó
圆圈	yuánquān	vòng tròn
字	zì	chữ
幸福	xìngfú	hạnh phúc
布置	bùzhì	bày trí
黑板	hēibǎn	bảng đen
对联	duìlián	câu đối
倒	dào	đổ
会场	huìchǎng	hội trường
音响	yīnxiǎng	giàn âm thanh
新春	xīnchūn	Tết mới
沙发	shāfā	ghế sofa
管理员	guǎnlǐyuán	quản lý viên
彩灯	cǎidēng	đèn màu
吉祥	jíxiáng	cát tường
冰箱	bīngxiāng	tủ lạnh
管理	guǎnlǐ	quản lý
彩带	cǎidài	dải màu
行业	hángyè	ngành nghề
洗衣机	xǐyījī	máy giặt
告诉	gàosu	nói với,thì thầm
兴旺	xīngwàng	thịnh vượng,hưng thịnh
空调	kōngtiáo	điều hòa
答应	dāying	đồng ý
宾馆	bīnguǎn	khách sạn
惊喜	jīngxǐ	bất ngờ, kinh ngạc vui mừng, ngạc nhiên mừng rỡ
国外	guówài	nước ngoài
安全	ānquán	an toàn
乘	chéng	đi
发	fā	phát ra
办理	bànlǐ	xử lý
响声	xiǎngshēng	tiếng vang
登机	dēng jī	lên máy bay
装	zhuāng	sắp xếp
手续	shǒuxù	thủ tục
硬币	yìngbì	tiền kim loại
行李	xíngli	hành lý
掏	tāo	móc
托运	tuōyùn	gửi vận chuyển
画报	huàbào	hoạ báo, báo ảnh, tạp chí ảnh
机票	jīpiào	vé máy bay
暗	àn	tối
票	piào	vé
开关	kāiguān	công tắc
登机牌	dēngjīpái	thẻ lên máy bay
扶手	fúshǒu	tay vịn
通过	tōngguò	thông qua
空姐	kōngjiě	tiếp viên hàng không
起飞	qǐfēi	cất cánh
系	jì	buộc
安全带	ānquándài	dây an toàn
带	dài	dây
卡子	qiǎzi	kẹp
扳	bān	bẻ
插头	chātóu	phích cắm
凉	liáng	mát
小心	xiǎoxīn	cẩn thận
杯子	bēizi	cốc
洒	sǎ	rơi
腿	tuǐ	chân
上街	shàng jiē	ra phố, lên phố
被	bèi	bị, được
撞	zhuàng	va, chạm, đụng
倒	dǎo	ngã, đổ
伤	shāng	tổn thương, bị thương
流	liú	chảy, di động
血	xiě	máu
要紧	yàojǐn	nghiêm trọng, quan trọng
不要紧	bù yàojǐn	không nghiêm trọng
骨头	gǔtou	xương
不好意思	bù hǎo yìsi	xấu hổ, ngại
故意	gùyì	cố tình
哎	āi	thán từ
钱包	qiánbāo	ví tiền
让	ràng	để, để cho
小偷	xiǎotōu	kẻ cắp
偷	tōu	trộm, cắp
遇到	yùdào	gặp phải
叫	jiào	gọi, kêu, bảo
淋	lín	thấm ướt, dầm
落汤鸡	luòtāngjī	ướt như chuột lột
似的	shìde	như, tựa như
湿	shī	ẩm, ướt
透	tòu	thấm, xuyên qua
首都	shǒudū	thủ đô
剧场	jùchǎng	kịch trường, nhà hát
司机	sījī	tài xế
拉	lā	lôi, kéo, đưa
机场	jīchǎng	sân bay
可气	kěqì	đáng giận
算命	suànmìng	bói toán
运气	yùnqì	vận mệnh, số phận
傻	shǎ	ngốc
花	huā	dùng thời gian, chi tiêu
受骗	shòu piàn	bị lừa
受	shòu	bị, chịu
骗	piàn	lừa gạt
抽烟	chōuyān	hút thuốc
罚	fá	phạt
烧	shāo	đốt, thiêu
戒烟	jièyān	cai thuốc lá
浪费	làngfèi	lãng phí
大山	Dàshān	Đại Sơn
演出	yǎnchū	diễn xuất, biểu diễn
猜	cāi	đoán
演员	yǎnyuán	diễn viên
武打	wǔdǎ	múa võ
动作	dòngzuò	động tác
精彩	jīngcǎi	đặc sắc
脸谱	liǎnpǔ	kiểu vẽ mặt, vẻ mặt
表现	biǎoxiàn	biểu hiện
人物	rénwù	nhân vật
社会	shèhuì	xã hội
地位	dìwèi	địa vị
性格	xìnggé	tính cách
十分	shífēn	rất, vô cùng
有趣	yǒuqù	thú vị, lí thú
服装	fúzhuāng	trang phục
影响	yǐngxiǎng	ảnh hưởng
传统	chuántǒng	truyền thống
艺术	yìshù	nghệ thuật
了解	liǎojiě	hiểu rõ, tìm hiểu
的话	dehuà	...dùng sau câu biểu thị giả thiết hẹn, mời
约	yuē	hẹn
了	liǎo	xong, rồi
决定	juédìng	quyết định
上下班	shàng xià bān	đi làm và tan làm
担心	dānxīn	lo lắng
肯定	kěndìng	khẳng định
排	pái	hàng, loạt, bảng
估计	gūjì	áng chừng, phỏng đoán
下	xià	xuống
开演	kāiyǎn	bắt đầu biểu diễn
满	mǎn	đầy
说明书	shuōmíngshū	bản thuyết minh/hướng dẫn sử dụng
说明	shuōmíng	thuyết minh
古代	gǔdài	cổ đại
神话	shénhuà	thần thoại
天上	tiānshàng	trên trời
仙女	xiānnǚ	tiên nữ
羡慕	xiànmù	ngưỡng mộ
人间	rénjiān	nhân gian, trần gian
偷偷	tōutōu	lén lút, vụng trộm
内容	nèiróng	nội dung
缆车	lǎnchē	xe cáp, cáp treo
喘气	chuǎn qì	thở dốc
动	dòng	di động, lay động
到底	dàodǐ	rốt cuộc
胜利	shènglì	thắng lợi
加油	jiāyóu	cố lên, cố gắng
出汗	chū hàn	ra mồ hôi
汗	hàn	mồ hôi
身	shēn	thân thể
接着	jiēzhe	tiếp tục, tiếp theo
危险	wēixiǎn	nguy hiểm
比	bǐ	so sánh, sánh
积极	jījí	tích cực
相声	xiàngsheng	tấu, tấu hài
台词	táicí	lời thoại
台背	bèi	học thuộc, công
话剧	huàjù	kịch nói
排练	páiliàn	tập
受伤	shòu shāng	bị thương
纠正	jiūzhèng	sửa chữa, uốn nắn
演	yǎn	diễn
只要就	zhǐyào...jiù...	chỉ cần ...
世上	shìshàng	ở đời, trên thế giới
无	wú	không có
怕	pà	sợ
心	xīn	tim, tư tưởng
自信	zìxìn	tự tin
相信	xiāngxìn	tin tưởng
争取	zhēngqǔ	tranh thủ
恐怕	kǒngpà	sợ rằng, có lẽ
首	shǒu	bài
突然	tūrán	đột nhiên
熟	shú	quen, biết, thông thạo
一下子	yíxiàzi	loáng một cái, thoáng qua
应	yīng	nhận
国际	guójì	quốc tế
